bugid,student_fullname,projectid,title,description,severity,status,createdby
11,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,59,TELL EVERYBODY SO INCREASE.,Star executive fear only your. Tend land machine forward several help usually. Wonder draw him task improve.,cRITiCAl,Open,John Mcintyre
12,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,47,HISTORY PROFESSIONAL STAR WONDER MANAGER ALREADY.,Forward beyond suddenly between treat address century that. Avoid sit enter perhaps. Power system system teacher here first.,LOw,In Progress,Olivia Brennan
13,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,8,PAY DOCTOR RANGE.,Section its better plant their. Coach federal ahead food argue grow.,MEDIUM,In Progress,David Jenkins
14,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,58,COLOR BAD THAT PEOPLE.,Tree central leave effect effort act source. Quality citizen kid generation onto.,CrItiCAl,In Progress,Jessica Wright
15,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,50,current his low down occur.,Yeah far within probably ever. Ten sing wind treat seat strategy total. Parent good PM per question.,MEDiUm,In Progress,Mary Massey
16,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,53,best physical always small almost half capital travel.,Compare car much will most tree. Either station loss southern. Sound life away senior difficult put.,MEDIUM,Open,Jennifer Singleton
17,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,59,hand so add mr lawyer pull public.,State wait board doctor agent this. Foreign particular positive play less red power. Cause watch fight manage. Doctor Mr home he.,CRITICAL,Fixed,Melissa Fernandez
18,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,3,score choice increase between majority impact week allow.,Kitchen wear talk between rate. Top population art every why we station. Production politics others again.,high,Closed,Dana Martinez
19,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,57,DAY STOP NEVER ONLY SPEND DO SIMILAR.,Everyone worker would. Economy company produce ago address so draw. Administration enter camera inside box as. Sing message board mean war analysis situation.,hIgh,In Progress,Kelly Ellis
20,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,59,article look husband.,Republican kitchen tonight focus chance call person. Nature foot yes most law painting between reduce.,critical,In Progress,Marilyn Mack
21,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,31,involve thousand including still human.,Interview professor hear check type attack. Behavior benefit school speech.,mediuM,Open,Laurie Hoffman
22,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,43,Prove ImproVe thEm WAiT InStITutIon trOUble.,Outside goal official defense prevent.,LOW,In Progress,Brian Bruce
23,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,39,boy everything difficult investment night should.,Push news participant price really ahead event several. Go consider century price attorney scientist. Begin most heavy. Game have return since nothing be apply.,medium,In Progress,Luke Craig
24,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,39,kitchen interest parent increase democratic.,Generation book question or. Project animal house out account feeling deep. Share face build market.,mEDIum,Fixed,Carl Patel
25,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,54,matter street south author technology.,Affect TV television office of remember.,LOw,Fixed,Brian Smith
26,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,40,cOmmERcIAL WAy lEAst readY Gun JoiN.,Job hundred bad that second. Four collection member box member.,low,In Progress,Hannah Luna
27,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,44,dooR cHair CultUrE OWn.,Week physical less nor. Large under north play person ten physical character.,HIGH,Fixed,Jeremy Turner
28,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,42,OPTION GOAL AVOID LEFT ALSO.,Baby ten talk past medical. Oil west school American training occur could. Little character artist billion tonight gas research mean.,HIGH,In Progress,David Kim
29,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,48,MODEL PARTICULAR HAIR TRUTH HOLD SIMPLE.,Smile positive at. Newspaper hit edge surface. Their four old center glass whose recognize hot. Remember be next poor foreign campaign reflect water.,LOW,Closed,Susan Davis DDS
30,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,2,GUN GUY CONGRESS DEGREE WAY MAIN DIFFICULT.,Baby such big side. Also from short capital heavy class story.,medium,Fixed,Rhonda Martin
31,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,10,ANALYSIS HAIR REST WIDE PARTICULAR SELL.,Move finally speak light strong. Question now key show sing me. Whom stage soon catch economic political.,critiCAL,Closed,Kristen Garcia
32,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,34,SUrFACE EXPECt SEVeRal EVENINg tOwN chalLeNGe joIn.,This us increase how hear history bank. Agreement us stuff practice social.,low,Fixed,Dustin Gallegos
33,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,33,SERVE LIGHT PAST TOWN.,Democratic change vote participant institution.,critical,Open,Cynthia Martinez
34,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,57,information soldier lead book toward.,Administration middle drop century investment pass drive. Cost property model guess well name. Never hospital like player wonder effect administration. General run pick sign.,mediuM,Fixed,Evelyn Williams
35,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,28,FULL POOR STORE RANGE WONDER LONG CONSIDER.,Respond want already cut. Though firm financial huge spring.,CRITICAL,Closed,Andrew Lucas
36,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,35,GROUND SIT TEND FORWARD BUY.,Threat sea thus hit wind many. Happen something entire bar interesting issue yet. Nation fly bag produce.,MEDIUM,Open,Lance Simmons
37,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,45,goal amount thank good your ever.,Provide image message seek. Well central parent sit.,MEDIUM,In Progress,Austin Osborne
38,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,22,GUN WE ALLOW CHECK LAST HE.,Off morning huge power. Whether ago control military trial. Energy employee land you.,HIgH,In Progress,Thomas Henry
39,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,54,CarEEr AVaILaBlE COmmon rEqUIRe.,Property remember nearly face feel church. Soldier meeting building cut.,HIgh,Fixed,Richard Johnson
40,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,18,occur level work candidate this assume huge.,Improve important offer by first avoid letter. General there sister policy consider whom item. Story million fight class.,MEDIUM,Fixed,Courtney Meza
41,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,3,THUS SUFFER ECONOMY PLAY NEARLY BY FIELD.,Maybe collection walk child. Result painting successful nor stay agreement animal political. Enough decision occur peace air threat nation.,high,Closed,Elizabeth Sanchez
42,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,22,FATHER AUTHORITY ART KEEP MACHINE DAUGHTER.,Fine responsibility safe team. Candidate have no five letter environment. Cell anything war ten industry. Spend value return couple.,CRITICAL,Closed,Zachary Owens
43,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,21,MARKET BED HOTEL LEAD DRIVE.,Any example our successful pull experience. Suggest issue think. Shake hand hundred now crime network. Hit late near stay.,MEdIUM,In Progress,Lisa Anderson
44,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,53,HOur SOmE fuNd VOice.,Own husband American although require. Mind chance throw cause use five hotel.,low,Open,Sarah Wheeler
45,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,35,stoCk motHer REmeMBer FeEl STaFF haPPY PURPose.,Film together the picture others enter pretty will. Officer return on color pick people subject challenge. All way body affect finish.,medium,In Progress,Michael Jenkins
46,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,43,turn their save artist catch debate foot production.,Finish community treatment garden great sign. Particular court east newspaper different. Side relate real major look.,high,Fixed,Taylor Griffith
47,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,32,business quality here woman stand.,Among western bad under pretty. Degree still even no even body scientist.,CRITICAL,Closed,Anthony Stein
48,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,10,POINT APPEAR INCLUDING RESPONSE BEYOND.,Who within citizen. Local current white fly position traditional become.,low,In Progress,Kimberly Sharp
49,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,17,TREE COMPANY THINK.,Young however many. Theory across nothing blue work.,LOW,Fixed,William Daniels
50,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,31,threat care mean evening speak former room.,Add front far purpose. Compare task today still middle.,CRITICAL,Open,Michael Lopez
51,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,54,LOCaL VERy accoRding hiMsElF.,West few reveal activity president. Artist brother fill if maybe. Real police wait happen determine.,medium,Open,Karen Gibson
52,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,28,health reduce tree serious soon stay seven quite.,Moment month gun true. Article natural measure of. Clearly take kind quite. Major together knowledge argue car indeed nor next.,critical,Open,Elizabeth Johnson
53,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,40,STAFF SECOND OFFICIAL AND GENERAL.,Yes various attorney value all important shoulder. Hear through large true help bag.,high,Open,Shelly Anderson
54,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,25,BUdgET yeAR hOtEl cAmERa WIThoUt strong.,Leg rest interest here discover.,LOW,In Progress,Christopher Lopez
55,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,2,alLow PrODuCE paSt viEw.,Deal beyond almost our reflect.,medium,Fixed,Patrick Morales
56,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,19,mUSic sEnIoR SimplY cELL YEaR.,Five our pull fly few century produce. Including every news option same.,CRITiCaL,Fixed,Michael Peters
57,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,41,WIN WALK PROVIDE.,Recent impact feel contain Mrs drive. Feeling remain south trip none. Newspaper care drug data position two.,MEDIUM,Closed,Anna Hardy
58,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,48,APPEAR HELP PAINTING ALWAYS AUTHORITY.,Describe decade trade field training deep couple. Section senior trial receive. However dream focus executive letter. Final growth third letter sort reveal.,CRITICAL,Fixed,Erica Harris
59,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,56,InclUding NonE DeTERmine ceRtaiNLy eNd vAriOus.,Far cultural discover now early nearly. Either start whom politics make collection. College result major true my politics. Model stuff avoid stand.,critical,Closed,Aaron Taylor
60,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,51,DISCUSS RELIGIOUS ACROSS MEDIA HEALTH PAY PROJECT PATTERN.,Administration mother in admit reveal movie expert. Spend purpose south travel blood benefit chance. People education great some bad.,HiGh,Closed,Judy Sanchez
61,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,57,FEEL STOCK BALL YARD PRACTICE.,If help live PM.,high,Closed,Angela Bruce
62,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,32,NOT TEACH BELIEVE MONTH AMOUNT DEEP.,Even under range exactly myself probably conference. Administration debate certain star start up. Class drive strong home to.,MediUM,Fixed,Perry Taylor
63,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,41,MaY WiNdoW APpRoaCh JOin.,Painting pass other why for plant. Make green wait it quickly produce beat.,low,Closed,Rebecca Marquez
64,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,30,ENVIRONMENTAL HERE SIX CHILD.,Guess before wall know seven bill. Cost large never impact. Bed never others.,low,Fixed,Sharon Smith
65,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,45,hold BE Top ToWARD WIthin OCcUr.,College especially environmental certainly cold every. Machine baby edge east person.,high,In Progress,Christina Rodriguez
66,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,18,accordINg hOw SUCCeSS HERE teLEvISioN.,Issue statement prepare organization feel owner. Look concern huge five same. Whose site for exactly skill half usually.,critical,Closed,Zachary White
67,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,24,AGREE ROAD WALL DECIDE SOMETHING STORY ATTORNEY.,Cause field education child institution help last. Look husband media turn reality myself so growth. Order trial body eat professor coach partner.,CRITICAL,Open,Maria Lucas
68,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,18,WHOLE INVOLVE ACTION ELSE MEMBER MILLION.,Determine hear leg quickly real character young. Bit indeed which break wait center find. Six miss give best reveal laugh attack. Special boy support.,CRITICAL,Open,Megan Martin
69,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,16,MIGHT NECESSARY FORMER INTERVIEW LEFT.,Continue policy it ahead pass culture or home. Day sell speak artist big. Cost for leader energy television month police.,medium,In Progress,Lisa Matthews
70,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,56,GOAL LEADER COMMON PURPOSE SONG TRY.,Public finish draw bring. Really memory industry case himself control. Really population yourself never majority cell fire. People tend weight machine crime himself no.,low,Closed,Jennifer Vasquez
71,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,40,commercial way least ready gun join.,Job hundred bad that second. Four collection member box member.,lOw,In Progress,Hannah Luna
72,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,57,day stop never only spend do similar.,Everyone worker would. Economy company produce ago address so draw. Administration enter camera inside box as. Sing message board mean war analysis situation.,high,In Progress,Kelly Ellis
73,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,33,sERvE LIght pAsT tOWN.,Democratic change vote participant institution.,CRItICAl,Open,Cynthia Martinez
74,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,48,trAininG FAther OPen iNvesTmenT nOTICE arT WHetHER.,Personal enough ball dream necessary. Able late order fact.,CRITICAL,Closed,Michael Warner
75,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,28,FULL POOR STORE RANGE WONDER LONG CONSIDER.,Respond want already cut. Though firm financial huge spring.,CRITICAL,Closed,Andrew Lucas
76,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,32,NOT TEACH BELIEVE MONTH AMOUNT DEEP.,Even under range exactly myself probably conference. Administration debate certain star start up. Class drive strong home to.,MEdium,Fixed,Perry Taylor
77,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,17,TrEE comPANy think.,Young however many. Theory across nothing blue work.,LoW,Fixed,William Daniels
78,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,57,feel stock ball yard practice.,If help live PM.,high,Closed,Angela Bruce
79,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,53,bEST pHysIcAL ALWaYS SMAll almOSt haLf CApITAl TrAVEl.,Compare car much will most tree. Either station loss southern. Sound life away senior difficult put.,MEDIUM,Open,Jennifer Singleton
80,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,48,AppEar HeLp PAiNTing alwaYS AUtHORItY.,Describe decade trade field training deep couple. Section senior trial receive. However dream focus executive letter. Final growth third letter sort reveal.,cRiTICAl,Fixed,Erica Harris
81,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,59,ARTICLE LOOK HUSBAND.,Republican kitchen tonight focus chance call person. Nature foot yes most law painting between reduce.,CRITICAL,In Progress,Marilyn Mack
82,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,22,GUN WE ALLOW CHECK LAST HE.,Off morning huge power. Whether ago control military trial. Energy employee land you.,high,In Progress,Thomas Henry
83,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,21,market bed hotel lead drive.,Any example our successful pull experience. Suggest issue think. Shake hand hundred now crime network. Hit late near stay.,mEDIuM,In Progress,Lisa Anderson
84,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,58,COLOR BAD THAT PEOPLE.,Tree central leave effect effort act source. Quality citizen kid generation onto.,critical,In Progress,Jessica Wright
85,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,16,migHt NEceSsAry foRmER InterVIEw LeFt.,Continue policy it ahead pass culture or home. Day sell speak artist big. Cost for leader energy television month police.,MEDIUM,In Progress,Lisa Matthews
86,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,3,thus suffer economy play nearly by field.,Maybe collection walk child. Result painting successful nor stay agreement animal political. Enough decision occur peace air threat nation.,hIGH,Closed,Elizabeth Sanchez
87,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,45,hold be top toward within occur.,College especially environmental certainly cold every. Machine baby edge east person.,HIGH,In Progress,Christina Rodriguez
88,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,23,DROP IMAGE NEW DRIVE.,Large admit family identify during professional hard. Most international second former reflect even edge. Return firm sea week.,CRITICAL,Fixed,Cheryl Rodgers
89,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,15,expect long future whole education technology box.,Man officer rather charge specific we. Yes budget share paper.,high,Open,Courtney Mills
90,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,10,analysis hair rest wide particular sell.,Move finally speak light strong. Question now key show sing me. Whom stage soon catch economic political.,CRITICAL,Closed,Kristen Garcia
91,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,59,TElL EvERyBODY So incREASe.,Star executive fear only your. Tend land machine forward several help usually. Wonder draw him task improve.,cRitICAL,Open,John Mcintyre
92,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,48,mOdel PartIculAR HaIR TrUth HolD sIMpLe.,Smile positive at. Newspaper hit edge surface. Their four old center glass whose recognize hot. Remember be next poor foreign campaign reflect water.,LOW,Closed,Susan Davis DDS
93,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,35,stock mother remember feel staff happy purpose.,Film together the picture others enter pretty will. Officer return on color pick people subject challenge. All way body affect finish.,MEdIum,In Progress,Michael Jenkins
94,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,44,DOOR CHAIR CULTURE OWN.,Week physical less nor. Large under north play person ten physical character.,HIGH,Fixed,Jeremy Turner
95,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,22,FATHER AUTHORITY ART KEEP MACHINE DAUGHTER.,Fine responsibility safe team. Candidate have no five letter environment. Cell anything war ten industry. Spend value return couple.,CRITICAL,Closed,Zachary Owens
96,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,39,KITCHEN INTEREST PARENT INCREASE DEMOCRATIC.,Generation book question or. Project animal house out account feeling deep. Share face build market.,medium,Fixed,Carl Patel
97,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,19,music senior simply cell year.,Five our pull fly few century produce. Including every news option same.,critical,Fixed,Michael Peters
98,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,56,GOaL LEadER coMmOn puRpOse SonG trY.,Public finish draw bring. Really memory industry case himself control. Really population yourself never majority cell fire. People tend weight machine crime himself no.,low,Closed,Jennifer Vasquez
99,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,53,hour some fund voice.,Own husband American although require. Mind chance throw cause use five hotel.,LOw,Open,Sarah Wheeler
100,RATSIHOARANA Nomenahitantsoa Amy Andriamalala,43,TURN THEIR SAVE ARTIST CATCH DEBATE FOOT PRODUCTION.,Finish community treatment garden great sign. Particular court east newspaper different. Side relate real major look.,high,Fixed,Taylor Griffith
